instrument_name,industry,total_percentage,fund_count
"Apple Inc.","Technology Hardware, Storage & Peripherals",21.9345,4
"Godrej Consumer Products Ltd.","Personal Products",21.8621,7
"Prudent Corporate Advisory Services Limited","Capital Markets",21.8213,8
"Mahindra & Mahindra Financial Services Limited","Finance",21.6414,9
"Vijaya Diagnostic Centre Limited","Healthcare Services",21.5939,8
"EQ - TVS MOTOR COMPANY LTD","Automobiles",21.519,6
"Rainbow Childrens Medicare Limited","Healthcare Services",21.4866,8
"Aether Industries Limited","Chemicals & Petrochemicals",21.4413,8
"NHPC Limited","Power",21.3426,6
"Tata Communications Ltd.","Telecom - Services",21.0742,6
"AIA Engineering Ltd.","Industrial Products",20.9273,7
"Sonata Software Ltd.","It - Software",20.9177,5
"PEARL GLOBAL INDUSTRIES LIMITED","Textiles & Apparels",20.8876,7
"Sapphire Foods India Ltd.","Leisure Services",20.8348,9
"Dhoot Transmission Ltd","Auto Components",20.7543,7
"EQ - BAJAJ AUTO LTD.","Automobiles",20.6959,5
"Motilal Oswal Financial Services Ltd.","Capital Markets",20.5132,7
"Religare Enterprises Limited","Finance",20.2466,3
"Cholamandalam Financial Holdings Limited","Finance",20.2266,7
"Cochin Shipyard Ltd.","Industrial Manufacturing",20.2215,5
"Piramal Pharma Limited","Pharmaceuticals & Biotechnology",20.1065,7
"Balrampur Chini Mills Limited","Agricultural Food & Other Products",19.9806,8
"Onesource Specialty Pharma Limited","Pharmaceuticals & Biotechnology",19.9724,7
"EQ - POLYCAB INDIA LTD","Industrial Products",19.5239,7
"Voltas Ltd.","Consumer Durables",19.481,7
"Grindwell Norton Limited","Industrial Products",19.4748,7
"DCB Bank Limited","Banks",19.4674,7
"EQ - BRITANNIA INDUSTRIES LTD.","Food Products",19.4435,7
"KFIN Technologies Limited","Capital Markets",19.2491,7
"EQ - NTPC LTD.","Power",19.1904,5
"Zensar Technologies Ltd.","It - Software",19.1834,5
"Nvidia Corporation","It - Software",19.1264,3
"CarTrade Tech Limited","Retailing",19.0618,6
"Indian Railway Finance Corporation Ltd","Finance",18.9285,1
"Oil And Natural Gas Corporation Ltd.","Oil",18.8972,5
"Zen Technologies Ltd.","Aerospace & Defense",18.8052,7
"EQ - CUMMINS INDIA LTD.","Industrial Products",18.7561,6
"EQ - BSE LTD","Capital Markets",18.6878,5
"Bank of India","Banks",18.6873,5
"EQ - TATA MOTORS LTD","Agricultural, Commercial & Construction Vehicles",18.6652,6
"Exide Industries Limited","Auto Components",18.6106,7
"Star Health And Allied Insurance Company Limited","Insurance",18.4475,7
"Honeywell Automation India Limited","Industrial Manufacturing",18.427,4
"Fortis Healthcare India Ltd","Healthcare Services",18.3664,6
"Balkrishna Industries Ltd.","Auto Components",18.2188,7
"WOCKHARDT LTD","Pharmaceuticals & Biotechnology",18.0993,7
"Foseco India Limited","Chemicals & Petrochemicals",18.0534,5
"LTIMindtree Ltd.","It - Software",18.0378,5
"JK Cement Ltd.","Cement & Cement Products",17.9577,7
"National Aluminium Co Limited","Non - Ferrous Metals",17.9571,5
"Himadri Speciality Chemical Limited","Chemicals & Petrochemicals",17.9391,7
"Shilpa Medicare Ltd.","Pharmaceuticals & Biotechnology",17.9211,6
"EQ - PERSISTENT SYSTEMS LTD.","It - Software",17.9125,5
"Kalyani Steels Ltd","Industrial Products",17.7963,2
"LT Foods Limited","Agricultural Food & Other Products",17.6307,5
"EQ - ULTRATECH CEMENT LTD.","Cement & Cement Products",17.5603,5
"VA Tech Wabag Limited","Other Utilities",17.5382,5
"Chalet Hotels Limited","Leisure Services",17.3935,7
"Indian Energy Exchange Limited","Capital Markets",17.3651,6
"Rail Vikas Nigam Ltd.","Construction",17.294,2
"EQ - HINDUSTAN AERONAUTICS LTD","Aerospace & Defense",17.2722,6
"Affle 3i Limited","It - Services",17.1586,7
"EQ - HINDUSTAN UNILEVER LTD","Diversified Fmcg",17.0952,5
"Astral Limited","Industrial Products",17.0829,6
"SPR Auto Technologies Ltd.","Auto Components",16.8985,6
"SBI Funds Management Limited","Capital Markets",16.7058,6
"Metropolis Healthcare Limited","Healthcare Services",16.6689,6
"Eris Lifesciences Limited","Pharmaceuticals & Biotechnology",16.6065,7
"Indian Railway Catering & Tourism Corp","Leisure Services",16.4839,1
"Entero Healthcare Solutions Ltd","Retailing",16.4296,5
"Gujarat Fluorochemicals Limited","Chemicals & Petrochemicals",16.4203,5
"Torrent Power Limited","Power",16.2731,6
"EQ - MARICO LTD","Agricultural Food & Other Products",16.1797,5
"Thangamayil Jewellery Limited","Consumer Durables",16.1338,5
"Usha Martin Ltd.","Industrial Products",16.1181,5
"EQ - MULTI COMMODITY EXCHANGE OF IN","Capital Markets",15.9724,5
"BEML Limited","Agricultural, Commercial & Construction Vehicles",15.9037,5
"Waaree Energies Limited","Electrical Equipment",15.8725,4
"CCL Products (India) Limited","Agricultural Food & Other Products",15.6132,6
